ID,Title,Dealer ID,City,State,Latitude,Longitude,Email ID
1,AB Mobara,RIO DE JANEIRO,1644186,RJ,-22.9492299,-43.3479999,thiago.vieira@grupoab.com.br
2,AB Mobara Barra da Tijuca,RIO DE JANEIRO,1679976,RJ,-23.0011848,-43.3874822,eduardo.ottoboni@grupoab.com.br
3,AB Mobara Nova Iguaçu,NOVA IGUAÇU,1701396,RJ,-22.7575911,-43.4538445,
4,AIKA VEÍCULOS,SINOP,1636884,MT,-11.8730439,-55.4981782,vendas@aikaveiculos.com.br
5,ANDRÉ RIBEIRO - GRU,GUARULHOS,1602114,SP,-23.4726696,-46.5235917,
6,ANDRÉ RIBEIRO - SANTO ANDRÉ,SANTO ANDRÉ,1624318,SP,-23.663295,-46.530817,
7,André Ribeiro - SBC,SÃO BERNARDO DO CAMPO,1605174,SP,-23.72029,-46.549528,
8,ANDRÉ RIBEIRO - SP,SÃO PAULO,1014234,SP,-23.56796,-46.499956,
9,ARNALDO,JUAZEIRO DO NORTE,1598659,CE,-7.183674,-39.323726,claudiocavalcant@hondaarnaldo.com.br
10,AUTO CAMPO,VÁRZEA GRANDE,1596056,MT,-15.6373428,-56.1201165,edson@autocampo.com.br
11,AUTO CAMPO (PAVS) RONDONOPOLIS,RONDONÓPOLIS,1671494,MT,-16.46864,-54.6460545,gerencia@autocamporondonopolis.com.br
12,AUTO CAMPO (SWR) CUIABA,CUIABÁ,1671496,MT,,,emerson@autocampo.com.br
13,AUTO JAPAN BANDEIRANTES,BELO HORIZONTE,1634753,MG,-19.9571659,-43.9319929,
14,AUTO JAPAN C MACHADO,BELO HORIZONTE,1632241,MG,-19.8866207,-43.9294588,
15,AUTO JAPAN CATALÃO,BELO HORIZONTE,1592773,MG,-19.9020881,-43.9664277,
16,AUTO JAPAN RAJA,BELO HORIZONTE,1015800,MG,-19.9544276,-43.9591927,
17,Autocity,MONTES CLAROS,1704924,MG,-16.7392517,-43.8818798,diretoria@hondaautocity.com.br
18,Autoclub,JOÃO PESSOA,1019309,PB,-7.1350172,-34.8545482,lucio@autoclubhonda.com.br
19,AUTOCLUB (SRE) - CENTRO,CAMPINA GRANDE,1679977,PB,,,lucio@autoclubhonda.com.br
20,Autoclub Mangabeira,JOÃO PESSOA,1699056,PB,,,servicosul@autoclubhonda.com.br
21,AUTOHAUS,BRASÍLIA,1011111,DF,-15.8695086,-47.923899,mclaudia@autohaus.com.br
22,Autoline,RECIFE,1036270,PE,-8.0955185,-34.9096426,tnascimento@autolinehonda.com.br
23,Autoline (FL) Prado,RECIFE,1635258,PE,-8.0611885,-34.9099043,
24,AVERSA,AMERICANA,1634616,SP,-22.7378267,-47.3201095,joseluiz@aversa.com.br
25,AVERSA,ARARAS,1671495,SP,-22.351882,-47.372918,monica@aversa.com.br
26,AVERSA AUTOMÓVEIS,RIO CLARO,1634615,SP,-22.4290697,-47.565172,cesar.rc@aversa.com.br
27,AVERSA CHACARA MONTE ALEGRE,SUMARÉ,1681445,SP,-22.8023545,-47.2403837,felipe@aversa.com.br
28,AVERSA LIMEIRA,LIMEIRA,1599521,SP,-22.5765808,-47.3918727,silvana@aversa.com.br
29,Banzai (FL) Pampulha,BELO HORIZONTE,1676958,MG,,,
30,Banzai Veículos,BELO HORIZONTE,1618369,MG,-19.9174395,-43.9540541,
31,BENI CAR - CASTELO,CAMPINAS,1016288,SP,-22.884513,-47.074388,alycia.alo@benicar.com.br
32,BENI CAR - CATANDUVA,CATANDUVA,1671521,SP,-21.141289,-48.993402,
33,BENI CAR - GUANABARA,CAMPINAS,1605691,SP,-22.8837322,-47.0597625,carol@benicar.com.br
34,BENI CAR - NORTE SUL,CAMPINAS,1632240,SP,-22.9050387,-47.0466192,alycia.alo@benicar.com.br
35,BENI CAR - RIO PRETO,SÃO JOSÉ DO RIO PRETO,1599787,SP,-20.8254985,-49.4057757,rodrigo.nunes@benicar.com.br
36,BENI CAR AMOREIRAS,CAMPINAS,1636883,SP,-22.875345,-47.047234,kazuo@benicar.com.br
37,Beni Car Philadelpho,SÃO JOSÉ DO RIO PRETO,1699271,SP,,,kazuo@benicar.com.br
38,BENICAR (PAVS) VOTUPORANGA,VOTUPORANGA,1681883,SP,,,nelson.miyamoto@benicar.com.br
39,CHROMA,JUNDIAÍ,1018906,SP,-23.1816233,-46.9105375,ricardo@chromav.com.br
40,Chroma (PAVS) Bragança Paulista,BRAGANÇA PAULISTA,1671497,SP,,,marcosk@chromav.com.br
41,Chroma Atibaia,ATIBAIA,1618900,SP,-23.1112029,-46.5602155,marcosk@chromav.com.br
42,Chroma Vinhedo,VINHEDO,1635347,SP,-23.01328,-46.98964,claudio@chromav.com.br
43,Cical,ARAÇATUBA,1637774,SP,-21.2115144,-50.4388215,jose.mauro@cicalhonda.com.br
44,DAHRUJ,CAMPINAS,1626618,SP,-22.9211304,-47.0652266,cristiane.mello@dahrujhonda.com.br
45,DAITAN (SWR) POMPEIA,SÃO PAULO,1614260,SP,-23.5420229,-46.676207,
46,DAITAN IBIRAPUERA,SÃO PAULO,1015699,SP,-23.607232,-46.6656315,calencar@daitan.com.br
47,DAITAN JABAQUARA,SÃO PAULO,1626269,SP,-23.6252052,-46.6405868,dcapua@daitan.com.br
48,DAITAN POMPÉIA,SÃO PAULO,1025694,SP,-23.5246789,-46.6829327,
49,DAITAN SÃO JOSÉ DOS CAMPOS,SÃO JOSÉ DOS CAMPOS,1019775,SP,-23.2137719,-45.8921022,azaninotto13@remaza.com.br
50,DAITAN TAUBATÉ,TAUBATÉ,1620521,SP,-23.024601,-45.5840422,azaninotto13@remaza.com.br
51,Dealer,SÃO PAULO,1609759,SP,-23.6705879,-46.7031042,sidney@dealerhonda.com.br
52,Dealer Berrini,SÃO PAULO,1610146,SP,-23.6139858,-46.6959983,mauricio.toledo@dealerhonda.com.br
53,DF VEÍCULOS,BRASÍLIA,1015818,DF,-15.8079073,-47.9594206,j.alexandre@dfveiculos.com.br
54,ENDO CAR (SRE) TRES LAGOAS,TRÊS LAGOAS,1671498,MS,,,celso@endocar.com.br
55,Endo Car - Campo Grande,CAMPO GRANDE,1598730,MS,-20.4683393,-54.6157487,bau@grupoendo.com.br
56,ENDO CAR - DOURADOS,DOURADOS,1018590,MS,-22.2263948,-54.7964214,supervisor.vendas@endocar.com.br
57,ENJIN,CASCAVEL,1593041,PR,-24.9609193,-53.4126668,eduardo@enjin.com.br
58,Enjin (PAVS) Foz do Iguaçú,FOZ DO IGUAÇU,1671499,PR,-25.5164955,-54.5850654,eduardo@enjin.com.br
59,ENJIN (SWR) TOLEDO,TOLEDO,1671516,PR,,,eduardo@enjin.com.br
60,ESTILO,TEIXEIRA DE FREITAS,1680176,BA,,,
61,FABERGE,MOGI DAS CRUZES,1597989,SP,-23.5282592,-46.2026101,novos@hondafaberge.com.br
62,FABERGE (PAVS) ARUJA,ARUJÁ,1633185,SP,-23.4123722,-46.3218818,novos@hondafaberge.com.br
63,Flora,SÃO PAULO,1017462,SP,-23.6472991,-46.675256,vendas.kato@floramotors.com.br
64,Forte,SÃO PAULO,1597811,SP,-23.5227289,-46.7412688,
65,Fuji Motors,IMPERATRIZ,1635915,MA,-4.352181,-47.5384881,andre@fujimotors.com.br
66,Gabivel,JOINVILLE,1019295,SC,-26.2790096,-48.8636524,baptista@gabivel.com.br
67,Gabivel (FL) Jaraguá do Sul,JARAGUÁ DO SUL,1636084,SC,-26.4778261,-49.0522168,cyro@gabivel.com.br
68,Gambatto,CHAPECÓ,1601166,SC,-27.0841626,-52.6224898,"doca@gambatto.com.br,"
69,GENDAI,CRICIÚMA,1597537,SC,-28.676471,-49.3670708,gerentecomercial@gendaiveiculos.com.br
70,GENDAI (SWR) ARARANGUA,ARARANGUA,1645444,SC,,,gerentecomercial@gendaiveiculos.com.br
71,GENDAI TUBARÃO,TUBARÃO,1632234,SC,-28.472838,-49.024838,gerentecomercialtb@gendaiveiculos.com.br
72,GRAN JAPAN,POÇOS DE CALDAS,1620828,MG,-21.7791269,-46.6031222,glenio@granderiohonda.com.br
73,Grande Rio Comércio de Veiculos Ltda,SÃO LUÍS,1668184,MA,,,
74,H MOTORS,COTIA,1634922,SP,,,"shirley.sandri@hmotors.com.br,"
